customer_id,gender,is_senior,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movie,subscription_plan,paperless_billing,payment_method,monthly_revenue,lifetime_value,is_churned,customer_segment,tenure_bucket,is_active_customer
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,18.25,29.85,0,Low Value,New,1
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,No,No,No,No,No,No,One year,No,Mailed check,18.4,1889.5,0,Low Value,Loyal,1
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,18.55,108.15,1,Low Value,New,0
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),18.7,1840.75,0,Low Value,Loyal,1
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,18.7,151.65,1,Low Value,New,0
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,18.75,820.5,1,Low Value,Early,0
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),18.8,1949.4,0,Low Value,Established,1
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,18.8,301.9,0,Low Value,Early,1
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,18.8,3046.05,1,Low Value,Loyal,0
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),18.8,3487.95,0,Low Value,Loyal,1
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,18.8,587.45,0,Low Value,Established,1
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),18.8,326.8,0,Low Value,Established,1
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Credit card (automatic),18.8,5681.1,0,Low Value,Loyal,1
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),18.85,5036.3,1,Low Value,Loyal,0
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,18.85,2686.05,0,Low Value,Loyal,1
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),18.85,7895.15,0,Low Value,Loyal,1
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,18.85,1022.95,0,Low Value,Loyal,1
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),18.85,7382.25,0,Low Value,Loyal,1
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),18.9,528.35,1,Low Value,Early,0
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,18.9,1862.9,0,Low Value,Established,1
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,18.95,39.65,1,Low Value,New,0
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),18.95,202.25,0,Low Value,Early,1
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,18.95,20.15,1,Low Value,New,0
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),18.95,3505.1,0,Low Value,Loyal,1
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),18.95,2970.3,0,Low Value,Loyal,1
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),18.95,1530.6,0,Low Value,Loyal,1
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,19,4749.15,1,Low Value,Loyal,0
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,19,30.2,1,Low Value,New,0
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),19,6369.45,0,Low Value,Loyal,1
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19,1093.1,1,Low Value,Established,0
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),19,6766.95,0,Low Value,Loyal,1
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),19,181.65,0,Low Value,New,1
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,No,No,No,No,No,No,One year,No,Mailed check,19,1874.45,0,Low Value,Loyal,1
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),19.05,20.2,0,Low Value,New,1
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),19.05,45.25,0,Low Value,New,1
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),19.05,7251.7,0,Low Value,Loyal,1
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.05,316.9,1,Low Value,New,0
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),19.05,3548.3,0,Low Value,Loyal,1
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,19.05,3549.25,1,Low Value,Loyal,0
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),19.05,1105.4,1,Low Value,Early,0
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,No,No,No,No,No,One year,No,Mailed check,19.05,475.7,0,Low Value,Early,1
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),19.05,4872.35,0,Low Value,Loyal,1
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,19.1,418.25,0,Low Value,Established,1
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),19.1,4861.45,0,Low Value,Loyal,1
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,19.1,981.45,0,Low Value,Established,1
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,19.1,3906.7,0,Low Value,Loyal,1
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.1,97,0,Low Value,New,1
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.1,144.15,1,Low Value,New,0
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),19.1,4217.8,0,Low Value,Loyal,1
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),19.1,4254.1,0,Low Value,Loyal,1
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,19.1,3838.75,0,Low Value,Loyal,1
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),19.1,1426.4,1,Low Value,Established,0
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),19.1,1752.65,0,Low Value,Loyal,1
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),19.1,633.3,1,Low Value,Early,0
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),19.15,4456.35,0,Low Value,Loyal,1
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,19.15,1752.55,1,Low Value,Established,0
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),19.15,6311.2,0,Low Value,Loyal,1
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,19.15,7076.35,0,Low Value,Loyal,1
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),19.15,894.3,0,Low Value,Loyal,1
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),19.15,7853.7,0,Low Value,Loyal,1
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,19.15,4707.1,0,Low Value,Loyal,1
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),19.15,5450.7,0,Low Value,Loyal,1
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),19.15,2962,0,Low Value,Loyal,1
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),19.15,957.1,0,Low Value,Established,1
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,19.15,857.25,1,Low Value,Early,0
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.2,244.1,0,Low Value,New,1
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,19.2,3650.35,0,Low Value,Loyal,1
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Mailed check,19.2,2497.2,0,Low Value,Loyal,1
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),19.2,930.9,0,Low Value,Loyal,1
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,19.2,887.35,0,Low Value,Early,1
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.2,49.05,0,Low Value,New,1
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,19.2,1090.65,0,Low Value,Loyal,1
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),19.2,7099,0,Low Value,Loyal,1
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),19.2,1424.6,0,Low Value,Loyal,1
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),19.2,177.4,0,Low Value,New,1
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,19.2,6139.5,0,Low Value,Loyal,1
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),19.2,2688.85,0,Low Value,Loyal,1
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.2,482.25,0,Low Value,Early,1
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.2,2111.3,0,Low Value,Loyal,1
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),19.2,1216.6,0,Low Value,Loyal,1
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.2,79.35,1,Low Value,New,0
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.2,565.35,0,Low Value,Early,1
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),19.25,496.9,1,Low Value,Early,0
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),19.25,4327.5,0,Low Value,Loyal,1
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),19.25,973.35,0,Low Value,Loyal,1
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),19.25,918.75,0,Low Value,Early,1
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),19.25,2215.45,0,Low Value,Loyal,1
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),19.25,1057,0,Low Value,Loyal,1
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,19.25,927.1,0,Low Value,Loyal,1
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.25,1009.25,0,Low Value,Loyal,1
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),19.25,2570.2,0,Low Value,Loyal,1
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.25,74.7,0,Low Value,New,1
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Mailed check,19.25,5714.25,0,Low Value,Loyal,1
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),19.25,7107,0,Low Value,Loyal,1
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),19.25,7459.05,0,Low Value,Loyal,1
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,19.25,927.35,1,Low Value,Early,0
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),19.25,4748.7,0,Low Value,Loyal,1
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.25,113.85,1,Low Value,New,0
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),19.25,1107.2,0,Low Value,Loyal,1
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.25,2514.5,1,Low Value,Loyal,0
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.3,20.2,0,Low Value,New,1
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.3,19.45,0,Low Value,New,1
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),19.3,3605.6,0,Low Value,Loyal,1
5386-THSLQ,Female,1,Yes,No,66,No,No phone service,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),19.3,3027.25,0,Low Value,Loyal,1
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),19.3,7611.85,1,Low Value,Loyal,0
6180-YBIQI,Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.3,100.2,0,Low Value,New,1
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,19.3,7303.05,0,Low Value,Loyal,1
9750-BOOHV,Female,0,No,No,32,No,No phone service,DSL,No,No,No,No,No,No,One year,No,Mailed check,19.3,927.65,0,Low Value,Loyal,1
8597-CWYHH,Male,0,No,No,43,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,19.3,3921.3,0,Low Value,Loyal,1
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.3,1363.25,0,Low Value,Loyal,1
0486-HECZI,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,19.3,5238.9,1,Low Value,Loyal,0
4549-ZDQYY,Female,0,No,No,52,Yes,No,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),19.3,3042.25,0,Low Value,Loyal,1
5712-AHQNN,Female,0,No,No,43,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.3,3954.1,0,Low Value,Loyal,1
4846-WHAFZ,Female,1,Yes,No,37,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,19.3,2868.15,1,Low Value,Loyal,0
5256-SKJGO,Female,0,Yes,Yes,64,No,No phone service,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,19.3,3423.5,0,Low Value,Loyal,1
3071-VBYPO,Male,0,Yes,Yes,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.3,248.4,0,Low Value,New,1
9560-BBZXK,Female,0,No,No,36,No,No phone service,DSL,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),19.3,1126.35,0,Low Value,Loyal,1
5299-RULOA,Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,19.3,1064.65,1,Low Value,Early,0
8402-OOOHJ,Female,0,No,No,41,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.3,835.15,0,Low Value,Loyal,1
9445-ZUEQE,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),19.3,2151.6,0,Low Value,Loyal,1
1091-SOZGA,Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),19.3,5515.45,0,Low Value,Loyal,1
2928-HLDBA,Female,0,No,No,6,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.3,112.75,0,Low Value,New,1
0404-SWRVG,Male,0,No,No,3,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,19.3,229.55,1,Low Value,New,0
6497-TILVL,Female,0,Yes,Yes,7,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.3,350.35,0,Low Value,Early,1
7219-TLZHO,Female,0,Yes,Yes,4,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.35,62.9,0,Low Value,New,1
4622-YNKIJ,Male,0,No,No,33,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,19.35,3027.65,0,Low Value,Loyal,1
4412-YLTKF,Female,1,No,No,27,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,19.35,2135.5,1,Low Value,Loyal,0
6734-PSBAW,Male,0,Yes,No,72,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),19.35,1723.95,0,Low Value,Loyal,1
3930-ZGWVE,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.35,19.75,0,Low Value,New,1
2639-UGMAZ,Male,1,No,No,71,No,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,19.35,3985.35,0,Low Value,Loyal,1
2876-GZYZC,Female,0,No,No,13,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,19.35,1215.65,0,Low Value,Established,1
6207-WIOLX,Female,0,Yes,Yes,25,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),19.35,1502.65,1,Low Value,Loyal,0
8587-XYZSF,Male,0,No,No,67,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),19.35,3260.1,0,Low Value,Loyal,1
3091-FYHKI,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.35,35.45,1,Low Value,New,0
2372-HWUHI,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.35,81.25,1,Low Value,New,0
